category,items,late_pct,avg_delay_days,avg_review
audio,362,12.71,-9.15,3.84
fashion_underwear_beach,127,12.6,-9.93,4.05
christmas_supplies,150,12.0,-11.05,4.07
books_technical,263,11.03,-10.31,4.39
home_confort,429,10.26,-8.81,3.85
construction_tools_lights,301,9.97,-10.22,4.08
food,499,9.82,-8.87,4.26
electronics,2729,9.75,-10.14,4.07
unknown,1537,9.37,-10.41,3.94
health_beauty,9465,9.05,-10.97,4.19
office_furniture,1668,8.93,-10.85,3.52
baby,2982,8.79,-10.65,4.08
musical_instruments,651,8.6,-10.48,4.22
furniture_decor,8160,8.43,-11.4,3.95
bed_bath_table,10953,8.4,-10.66,3.92
telephony,4430,8.33,-10.38,3.99
auto,4139,8.29,-10.44,4.11
watches_gifts,5857,8.28,-10.92,4.07
home_construction,596,8.22,-10.56,3.96
construction_tools_construction,916,8.08,-10.62,4.09
stationery,2466,8.03,-11.04,4.25
garden_tools,4268,7.97,-10.98,4.08
furniture_living_room,495,7.88,-10.8,3.93
consoles_games,1089,7.81,-10.68,4.14
furniture_bedroom,103,7.77,-12.51,4.25
computers_accessories,7643,7.77,-11.42,3.99
art,197,7.61,-11.78,4.08
industry_commerce_and_business,264,7.58,-11.55,4.12
toys,4029,7.42,-11.1,4.21
sports_leisure,8430,7.41,-11.01,4.17
perfumery,3340,7.34,-11.41,4.22
costruction_tools_garden,232,7.33,-12.54,4.12
tablets_printing_image,83,7.23,-11.77,4.12
cine_photo,70,7.14,-10.33,4.29
home_appliances_2,231,6.93,-11.45,4.16
small_appliances_home_oven_and_coffee,73,6.85,-10.59,4.44
home_appliances,754,6.76,-11.65,4.22
cool_stuff,3718,6.75,-11.49,4.2
dvds_blu_ray,61,6.56,-12.36,4.18
computers,199,6.53,-10.58,4.22
books_general_interest,536,6.53,-11.15,4.51
housewares,6795,6.49,-11.3,4.11
food_drink,269,6.32,-10.61,4.36
fashion_bags_accessories,1985,6.25,-12.34,4.19
pet_shop,1924,6.13,-11.54,4.22
small_appliances,658,5.93,-12.88,4.22
fashion_shoes,257,5.84,-13.83,4.28
costruction_tools_tools,103,5.83,-11.2,4.44
fashion_male_clothing,125,5.6,-11.71,3.76
signaling_and_security,197,5.58,-11.71,4.09
drinks,361,5.54,-10.53,4.12
construction_tools_safety,183,5.46,-11.39,3.97
luggage_accessories,1077,5.39,-11.62,4.35
kitchen_dining_laundry_garden_furniture,274,4.38,-11.43,4.03
agro_industry_and_commerce,206,4.37,-10.46,4.09
fixed_telephony,255,4.31,-13.72,3.76
market_place,305,4.26,-13.62,4.07
air_conditioning,289,3.81,-13.17,4.05
books_imported,57,3.51,-10.19,4.51
